Regions,Population Density
Koreatown,42611
Westlake,38214
East Hollywood,31095
Pico-Union,25352
Maywood,23638
Harvard Heights,23473
Hollywood,22193
Walnut Park,22028
Palms,21870
Adams-Normandie,21848
South Park,21638
Lennox,21557
Arlington Heights,21423
Huntington Park,20223
University Park,20217
Cudahy,19697
Historic South-Central,19474
West Hollywood,18924
Central-Alameda,18760
Vermont-Slauson,18577
Vermont Knolls,18057
Panorama City,18028
Vermont Square,17798
Bell Gardens,17762
Larchmont,17747
Pico-Robertson,17468
Watts,17346
Westmont,17066
Echo Park,16868
East Los Angeles,16863
Highland Park,16835
Exposition Park,16819
Florence-Firestone,16805
East Compton,16542
Jefferson Park,16300
Lawndale,16119
Harvard Park,16072
Florence,15661
Hawaiian Gardens,15141
Broadway-Manchester,15060
Mid-City,15051
Mid-Wilshire,14988
West Adams,14686
Bell,14357
Lynwood,14264
Boyle Heights,14229
Vermont Vista,14154
Hawthorne,13848
South San Jose Hills,13646
Los Feliz,13512
Cypress Park,13478
Sawtelle,13319
North Hollywood,13264
Westwood,13036
Beverly Grove,12990
South Gate,12945
West Puente Valley,12855
Green Meadows,12785
Hyde Park,12700
Hermosa Beach,12481
Inglewood,12330
Valley Glen,12325
Mar Vista,12259
Canoga Park,12240
West Los Angeles,12061
El Monte,11995
Venice,11891
Citrus,11827
La Puente,11761
Bellflower,11756
Valley Village,11600
Van Nuys,11542
Manchester Square,11449
Del Rey,11420
Paramount,11395
Alhambra,11275
Silver Lake,11266
Baldwin Park,11176
Valinda,10748
Lincoln Heights,10602
Reseda,10600
Norwalk,10572
Chinatown,10568
Pacoima,10510
Baldwin Hills/Crenshaw,10446
Lomita,10424
Rosemead,10332
South Whittier,10291
Vincent,10163
East San Gabriel,10157
Redondo Beach,10129
Fairfax,10122
Artesia,10036
Arleta,10034
North Hills,10003
West Whittier-Los Nietos,9899
Gardena,9894
Leimert Park,9880
San Fernando,9856
Winnetka,9826
El Sereno,9826
Santa Monica,9817
Charter Oak,9816
Carthay,9642
Mayflower Village,9585
Chesterfield Square,9571
San Gabriel,9433
Elysian Valley,9354
West Carson,9219
Compton,9199
Del Aire,9132
Harbor City,9127
Willowbrook,9117
Long Beach,8882
Gramercy Park,8859
North El Monte,8677
Manhattan Beach,8573
Downey,8566
Glassell Park,8524
East La Mirada,8506
Atwater Village,8379
Temple City,8366
Lakewood,8348
Windsor Square,8255
Sun Valley,8048
San Pasqual,8036
Century City,7869
Monterey Park,7823
Lake Balboa,7754
Harbor Gateway,7720
Beverlywood,7654
Eagle Rock,7644
Alondra Park,7548
Culver City,7475
Montebello,7329
Pico Rivera,7187
Rancho Park,7169
South El Monte,7150
South Pasadena,7114
Montecito Heights,6959
Mount Washington,6878
Athens,6829
Torrance,6701
Covina,6701
Sherman Oaks,6687
San Pedro,6640
Pomona,6556
West Covina,6509
Hancock Park,6459
Toluca Lake,6393
Glendale,6368
Northridge,6080
View Park-Windsor Hills,6008
La Mirada,5966
Beverly Hills,5933
Avocado Heights,5907
Cerritos,5851
Burbank,5785
Mission Hills,5721
South San Gabriel,5708
Marina del Rey,5706
Whittier,5688
Wilmington,5636
Sylmar,5579
La Crescenta-Montrose,5401
Studio City,5395
Pasadena,5366
Desert View Highlands,5160
Altadena,4900
Downtown,4770
Arcadia,4749
Carson,4676
East Pasadena,4622
West Hills,4551
Cheviot Hills,4520
Hacienda Heights,4503
Azusa,4496
Porter Ranch,4462
Encino,4411
Signal Hill,4171
Woodland Hills,4040
Tarzana,4038
La Verne,3863
Westchester,3839
Sunland,3825
Diamond Bar,3754
Rowland Heights,3604
Sierra Madre,3563
Playa del Rey,3542
San Marino,3428
Granada Hills,3344
Walnut,3329
West Compton,3291
Duarte,3212
Rancho Palos Verdes,3084
Castaic,3076
Hollywood Hills,3063
Hollywood Hills West,3048
El Segundo,2925
Palos Verdes Estates,2822
Lake View Terrace,2790
Stevenson Ranch,2765
Santa Clarita,2745
Tujunga,2649
Monrovia,2643
Val Verde,2588
Glendora,2568
Agoura Hills,2495
Quartz Hill,2475
La Cañada Flintridge,2369
Chatsworth,2301
San Dimas,2244
Ladera Heights,2214
Rolling Hills Estates,2185
Claremont,2124
Brentwood,2059
Santa Fe Springs,2014
Commerce,1912
Playa Vista,1859
Lake Los Angeles,1601
Elysian Park,1538
Westlake Village,1534
Beverly Crest,1318
Calabasas,1247
Bel-Air,1207
Lancaster,1180
Avalon,1159
Ramona,1122
Hidden Hills,1100
Pacific Palisades,1048
Shadow Hills,1023
La Habra Heights,979
Rancho Dominguez,947
West San Dimas,937
Sun Village,917
Rolling Hills,893
Palmdale,874
North Whittier,797
Littlerock,766
Veterans Administration,683
Bradbury,658
Malibu,629
Northwest Palmdale,540
Topanga,386
Green Valley,290
Elizabeth Lake,219
Lopez/Kagel Canyons,195
Acton,166
Irwindale,154
Hasley Canyon,136
Unincorporated Santa Monica Mountains,100
Agua Dulce,99
Leona Valley,90
Industry,82
Lake Hughes,61
Unincorporated Santa Susana Mountains,58
Castaic Canyons,40
Southeast Antelope Valley,27
Vernon,18
Northwest Antelope Valley,16
Tujunga Canyons,11
Northeast Antelope Valley,10
Ridge Route,7
Angeles Crest,3
Unincorporated Catalina Island,2
